url,price,property_type,features,title,features_list,headline,paragraphs
https://www.domain.com.au/10-law-street-south-melbourne-vic-3205-2019451811,"$950,000 - $990,000",House,"{'Beds': '2', 'Bath': '1', 'Parking': '−', 'Land size': '99m²'}","10 Law Street, South Melbourne VIC 3205",[],Chic Victorian in a Sensational Position,"['Hidden away in a laneway like street, this fabulous 2 bedroom weatherboard Victorian is a prized package with modernised finesse, northern sunlight and extra flexibility.', 'Welcomed by a timeless façade and the sweetness of a white picket fence, this urban gem reveals an inviting entry hall leading into 2 substantial bedrooms (one with full height fitted robes, other with decorative fireplace), a relaxed living and dining area with a north facing decked lightwell, a classy galley style kitchen (Bosch dishwasher) and a chic bathroom/laundry. The extra flexibility is found within the radiant mezzanine level which becomes your study space or laid-back retreat. The brick paved rear courtyard gives you a sun catching spot to get together with friends plus laneway access.', 'Advanced with keyless access to both entries, this well equipped home provides updated timber style floors, multiple reverse cycle air conditioners, security system, deep roof storage and a garden shed.', 'A short walk to so much lifestyle the thriving Clarendon Street hub for shopping and dining, famous Albert Park Lake with its surrounding parkland and sporting facilities, the iconic South Melbourne Market, South Melbourne Park Primary School, numerous tram routes and the Shrine of Remembrance in the Royal Botanic Gardens. Albert Park College zone.', 'Light-filled Northerly Aspect Study or retreat space Reverse cycle air conditioning Quiet one way street An unbeatable lifestyle locale']"
https://www.domain.com.au/39-aruma-avenue-harkness-vic-3337-2019451793,"$595,000",House,"{'Beds': '4', 'Baths': '2', 'Parking': '4'}","39 Aruma Avenue, Harkness VIC 3337","['Ensuite', 'Built in wardrobes', 'Internal Laundry', 'Bath', 'Heating', 'Dishwasher', 'Secure Parking', 'Fully fenced']",Excellent Value Family Home,"['Positioned in popular Willandra Estate this home offers great value for money for those looking for a family home.', 'Offering 4 good size bedrooms, master complete with Ensuite & WIR, open plan kitchen with stainless steel appliances, which adjoins the meals and family area that has direct access to the Alfresco and back yard.', 'Other notable features of this home are double remote garage, low maintenance gardens, ducted heating, evap cooling, and dishwasher.', 'A great opportunity to secure a good size home in a popular pocket of Harkness.']"
https://www.domain.com.au/54-vincent-street-sandringham-vic-3191-2019451676,"$1,800,000 - $1,900,000",House,"{'Beds': '4', 'Baths': '2', 'Parking': '2', 'Land size': '478m²'}","54 Vincent Street, Sandringham VIC 3191",[],Rich Detail & a Wealth of Poolside Entertaining,"[""More than just a pretty face, this is the place for a pretty perfect poolside lifestyle! Built in 1920 for the local State Bank Manager, this rare Arts and Crafts home is a showpiece of its time... renovated to show off today's most entertaining lifestyle. Artfully renovated and sympathetically extended, this unique four-bedroom, two-bathroom home combines the best of yesterday and today with gracious formal lounge and dining areas, a sunset-view family zone, and a rear kids' bedroom wing ...all wrapping a Vergola-shaded alfresco area beside the state-of-the-art pool."", 'Starring a Smeg and Bosch appliance kitchen and timeless period-inspired bathrooms (one echoing a well-researched original colour scheme, the other with a grand freestanding bath), this showpiece home is richly detailed; with sparkling leadlight, spectacular decorative ceilings, and reclaimed vintage lighting as the backdrop to a wealth of luxe detail.', ""Centrally heated and reverse-cycle airconditioned with a warming open fireplace in an eye-catching brick-surround plus warm hardwood floors throughout, this showpiece entertainer showcases outstanding attention to detail; from a 'secret' full-depth walk-in pantry, to bespoke built-in robes, to invisible-glass fencing and auto-cleaning for the fully-tiled pool."", ""Perfectly utilising this lushly lawn-free block, this high-gabled beauty enjoys a high-set position on one of Sandringham's leafiest tree-lined streets; a walk to the Acorn Patch parklands and Sandringham Primary School, 200m to the Secondary College, and two minutes to village shopping and the beachside village and station."", 'For more information about this rare beachside Arts and Crafts-era home contact James Colyvan or Scott Hamilton at Buxton Sandringham.']"
https://www.domain.com.au/5-57-centre-dandenong-road-dingley-village-vic-3172-2019451675,"$750,000 - $790,000",Apartment / Unit / Flat,"{'Beds': '3', 'Bath': '1', 'Parking': '2', 'Land size': '245m²'}","5/57 Centre Dandenong Road, Dingley Village VIC 3172",[],Parkside Appeal Close To The Shops,"['Right at the rear allowing direct access straight to the oval for endless fresh air & recreation, this well-presented unit also boasts a fabulous location just metres to the shops. An appealing opportunity for young families and downsizers who value convenience and a sense of community, this is also an extremely private escape when you need to tuck yourself away.', 'Opening to a very generous lounge and open plan dining zone, the layout provides a practical kitchen that enjoys outlooks to a recently installed alfresco deck and shady pergola. The secure lawn is ideal for kids and pets, while out through the gate, the park and oval are just waiting to be enjoyed.', 'The inclusion of three generous bedrooms is a sought-after highlight, together they share the full central bathroom with a handy separate WC. A large laundry with access out to the garden and ample storage are amongst the practicalities of a home that includes split system heating/cooling and the rare drawcard of a double garage.', 'Peaceful & inviting with scope to add your own style if desired, this single-level gem is literally metres to buses, shops & cafes, close to a choice of primary schools and zoned for Parkdale Secondary College.']"
https://www.domain.com.au/1-18-princes-street-st-kilda-vic-3182-2019451672,"$900,000 - $990,000",Apartment / Unit / Flat,"{'Beds': '3', 'Bath': '1', 'Parking': '1'}","1/18 Princes Street, St Kilda VIC 3182","['Built in wardrobes', 'Dishwasher', 'Double glazed windows', 'Heating', 'Floorboards', 'Remote Garage', 'Secure Parking']",Expressions of Interest Closes Tuesday 24th September at 5pm,"['Stunning Art Deco Delight', 'Ideally located nearby vibrant Fitzroy Street and the picturesque Albert Park Lake, this elegant and generously-proportioned 2-3 bedroom ground floor Art Deco apartment offers a coveted St Kilda lifestyle, blending relaxed coastal vibes with an enticing dining scene.', 'The beautiful and boutique ""Deauville"" building features a distinguished front portico and tiled foyer. Inside the apartment, a gracious entrance leads to a beautifully appointed living room with a stunning mantle and lush garden views. The bright and airy dining room captures abundant natural light, and the recently renovated kitchen boasts modern appliances and soft close cabinetry, as well as handy rear access. The substantial main bedroom features expansive built-in wardrobes whilst the second bedroom is conveniently connected to an additional room which could function as a third bedroom, study or even a dressing room! This flexible space is complemented by a sparkling renovated bathroom with a separate shower and bath tub.', ""This lovely property showcases classic Art Deco elements, including 3m (approx.) ceilings, leadlight windows, plate rails, picture rails, and Tasmanian Oak flooring. Comfort is enhanced by brand new ducted heating and new carpet, with additional features including laundry facilities, ceiling fans, double-glazed windows, and a lock-up garage accessible via a secure driveway. With both resident and visitor parking permits, a second secure off-street car space within the complex is also available for a very reasonable rent. Enjoy Melbourne's top coffee spots and explore a variety of restaurants, bars, and entertainment options on Fitzroy Street, St Kilda Esplanade, Acland Street, and St Kilda beach. With a tram stop just steps away and St Kilda Park Primary School within walking distance, convenience is absolutely at your doorstep.""]"
https://www.domain.com.au/32-filmont-drive-werribee-vic-3030-2019451656,"$950,000 - $1,020,000",House,"{'Beds': '4', 'Baths': '2', 'Parking': '2', 'Land size': '582m²'}","32 Filmont Drive, Werribee VIC 3030",[],Modern Paradise in the Heart of Werribee - Enjoy a Low Maintenance Lifestyle!,"['This property offers a fantastic opportunity for those looking to move into a well-established home.This low maintenance 4BR home boasts functionality and convenience in all aspects including its layout, use of space and storage options. Bamboo flooring & tiling throughout making it durable and eco-friendly.', 'Positioned on approximately 582 square metres of land in a prestigious area, surrounded by high-class homes and close to essential amenities.', 'The main bedroom features a spacious walk-in robe (WIR) with a large ensuite, providing a luxurious retreat.', 'The 2nd bedroom also with WIR (Walk-In Robe) providing more space and a more luxurious feel.', 'Bedrooms 3 & 4 with BIR (Built-In Robes) which are convenient for storage and help save space. The property also includes a central formal lounge area and a separate study for added flexibility.', ""The large tiled kitchen/meals/living area is complemented by a butler's pantry, perfect for entertaining and everyday living. There's also a rear rumpus/family room for additional leisure space."", 'Outdoor Entertainment offers a side alfresco area with an undercover entertainment space, ideal for hosting gatherings and enjoying outdoor meals.', 'A double remote garage with internal access and rear access ensures convenience and additional storage options.', 'Ã¢- Additional Features:- Ducted heating and evaporative cooling for year-round comfort.- Stone bench tops- 900mm appliances- Dishwasher- Manicured gardens- Pot belly fire place', 'Overall, this home offers a blend of elegance, comfort, and practicality, making it an attractive option for those seeking a move-in-ready residence.Contact Michelle Chick or Karlee Chapple today!', '• Photo ID required at every open inspection']"
https://www.domain.com.au/82-the-grove-coburg-vic-3058-2019451653,"EOI - $1,920,000 - $2,100,000",House,"{'Beds': '2', 'Bath': '1', 'Parking': '2', 'Land size': '905m²'}","82 The Grove, Coburg VIC 3058",[],A Timeless Coburg Estate of Significant Scale & Scope,"['Expressions of Interest closing on Saturday 28th September at 5PM', 'Raphael Houston proudly presents...', ""Placed along what is recognised as Coburg's finest street, below the picturesque canopy of towering Oaks trees sits this thoughtfully-maintained and flawlessly presented family-home, which remains as profoundly beautiful today as when it was first envisaged."", 'Preceded by manicured gardens, a stately columned entry opens onto a grand entry hall framed by fretwork, timber architraves, and evocative mosaic flooring. The tasteful styling and rich materiality continues in the formal living zone and dining room, which sensibly flow onto a well-appointed kitchen set alongside a sunroom/meals area. Further floor plan features include two bedrooms, a laundry, and bathroom.', 'The property operates on a scale & scope no longer found in Coburg, and this is immediately evident once you step outside. Its enormous 905 sqm (approx) allotment is largely devoted to its expansive lawns, which accommodate mature trees and, at the rear, a garage with two storerooms, a workshop, and undercover entertaining area.', 'Future planning encompasses a variety of scenarios, each attuned to the lifestyles of future purchasers. The property is picture-perfect, and there is no reason to change that now. However, its dimensions allow for the establishment of a secondary dwelling along the rear (STCA). A street-crossover and rear R.O.W allow a flexible approach to future design plans.', ""Fabulously located along Coburg's most celebrated, tree-lined streets, live within walking distance of the Merri Creek, sports fields, Moreland station, and Sydney Road. Local Coburg landmarks are nearby, including Coburg station plaza, Coburg Leisure Centre, Coburg Lake Reserve, and Pentridge SC."", 'HighlightsNorth-facing orientationLeafy, Oak-lined streetSteps to the Merri CreekManicured entry gardensStately double-frontageImmaculate presentationTImeless interiorsRich materialityFormal living & dining, sunroomOriginal conditionEnormous 905 sqm (approx) allotmentFront crossover & rear R.O.W']"
https://www.domain.com.au/7-albert-street-brighton-vic-3186-2019451625,Expressions of Interest Close Tuesday 24 Sep 5pm,House,"{'Beds': '4', 'Baths': '3', 'Parking': '4', 'Land size': '727m²'}","7 Albert Street, Brighton VIC 3186",[],Move In or Redevelop in One of Brighton's Most Sought After Locations,"['Outstandingly positioned between Brighton Beach and Church Street, this unique, architect-designed four-bedroom residence will captivate with its light-filled modern Mediterranean-inspired interiors and an adaptable floorplan perfect for multi-generational family living and impressive entertaining, or the option to redevelop with approved plans and permits for two oversized luxury single-floor apartments.', ""Privately set behind a high wall, with a security vestibule entry, the freshly painted and newly carpeted home's soaring angles and impressive proportions are introduced in the formal living area, which has two sets of glass sliding doors that open to the front and central garden courtyards. An elegant dining space also has courtyard views and access, while the open-plan family living/meals area features a central granite kitchen and connectivity to the undercover alfresco dining terrace and private rear garden. The zoned main bedroom is spacious with lush garden outlooks and has a walk-in robe and marble spa ensuite. Upstairs the architectural angles and splendour continue with an option for a second main bedroom, or ideal teen sanctuary with a private balcony and converted attic marble ensuite. There is also a retreat, a home office area, and two robed bedrooms with built-in desks, and the main bathroom. Additional features include a laundry with external access, a powder room, plenty of storage, central heating and cooling, plus a split system. The double garage has a remote auto door and internal access, and there is also off-street driveway parking."", ""Positioned on a substantial 727sqm* allotment in the heart of Brighton's most prized lifestyle precinct, in a tranquil, leafy street just doors from the Bay, and metres to the Yacht club, Brighton Baths, Church Street shops and cafes, Middle Brighton station, and a host of excellent schools including Brighton Grammar, which is just around the corner."", '*approximate land size']"
https://www.domain.com.au/3-42-nolan-avenue-brooklyn-vic-3012-2019451596,"$350,000 - $385,000",Apartment / Unit / Flat,"{'Beds': '2', 'Bath': '1', 'Parking': '1'}","3/42 Nolan Avenue, Brooklyn VIC 3012",[],Parkside Living!,"['All the appeal associated with a city fringe address is beautifully conveyed by this light filled abode and its prime setting. Positioned directly opposite Brooklyn Reserve with parks, tennis courts, a fenced dog park & playground only a short walk away.', '- spacious living area with an abundance of natural light - generous bedrooms with built-in robes - kitchen/meals with plenty of storage options - central bathroom with shower, separate powder room plus laundry facilities - split system heating/cooling keeps the home comfortable all year round - 73sqm of internal space - secure parking', ""Located across the road from the recently built (2023) Brooklyn community hall which provides numerous programs such as free yoga, Zumba, free movie nights and even story time for toddlers & babies. All this plus Chapter One café is only a 3 minute walk from your front door. Another advantage of this location is the fact that it's only a short drive away from everything we love about the inner west including the famous Yarraville village, Williamstown beach and a plethora of cafes, restaurants plus easy access to the city.""]"
https://www.domain.com.au/5-george-street-oakleigh-vic-3166-2019451510,"$1,150,000 - $1,250,000",House,"{'Beds': '2', 'Bath': '1', 'Parking': '3', 'Land size': '544m²'}","5 George Street, Oakleigh VIC 3166",[],Californian Period Charm With Future Potential,"['Beyond its charming Californian façade, this 2 bedroom, 1 bathroom home provides immediate comfort and prized potential for the future. Timber floors, high ceilings and leadlight windows add character to inviting interiors including open-plan living/dining, kitchen/meals area, ducted heating, split system AC, covered deck, water tank, workshop, storage room and 3 car carport. Move in for now and enjoy or lease out the existing spaces, while contemplating future plans; utilise its current spaces to launch a fabulous contemporary renovation/extension, or wipe the slate clean and build the home of your dreams in a prime location (STCA). Positioned in the heart of Oakleigh, a leisurely stroll to vibrant Eaton Mall, Oakleigh Central, train station and minutes to buses, Chadstone shopping centre and M1 Freeway.Land : 544sqm', '*Please Note* Buxton Real Estate may refuse to provide further information about the property should you prefer not to disclose your Full Contact Details including Phone Number. Photo id required upon entering the property.']"
https://www.domain.com.au/g08-20-pier-lane-maribyrnong-vic-3032-2019451496,"$530,000 - $550,000",Apartment / Unit / Flat,"{'Beds': '2', 'Baths': '2', 'Parking': '1'}","G08/20 Pier Lane, Maribyrnong VIC 3032","['Air conditioning', 'Balcony / Deck', 'Broadband internet access', 'Built in wardrobes', 'Dishwasher', 'Electric Hot Water Service', 'Floorboards', 'Intercom', 'Secure Parking', 'Heating']","Newly Renovated Apartment in Sought-After, Waterfront Marina Complex","['This newly renovated apartment strikes a perfect harmony between security, comfort, and lifestyle, situated within the waterfront Marina Apartments Complex. Boasting two spacious bedrooms, each with built-in robes, and two sleek, modern bathrooms, the expansive open-plan living and dining areas seamlessly connect to an undercover balcony that offers northernly aspect of the surrounding suburban neighbourhood.', ""The kitchen is a blend of style and practicality, featuring stone benchtops, a large island, and european stainless steel appliances. With split system heating and cooling, you'll experience year-round comfort. Additional conveniences include a secure intercom access, euro laundry, a secure car space and a large storage cage."", ""Housed in a low-density, low-rise building with full security, a lift, and a welcoming foyer, this apartment is just 7 km from Melbourne's CBD. Residents are surrounded by parklands, cycling and walking tracks along the Maribyrnong River, and have easy access to Highpoint Shopping Centre, Edgewater Square along with a range of excellent cafes and restaurants nearby. Enjoy the coveted riverfront lifestyle in the comfort of a newly renovated property. Contact us now to book in an inspection of this property.""]"
